N,model,fold,n_splits,n_train,n_validation,n_features,MAE,RMSE,MAPE,R2
100,ElasticNet,2,5,99,25,63,125.86261903275148,194.81740987888224,35.671131961444324,0.4476800604582518
100,ElasticNet,3,5,99,25,63,151.0738155134196,205.14094718951992,25.56158114575252,0.3301140764144329
100,ElasticNet,4,5,99,25,63,114.2069281383996,188.71536934764507,13.581960217375144,0.6875559937775282
100,ElasticNet,5,5,100,24,63,204.98268207156744,452.46322563827175,29.95322768330684,-1.1190497462302371
100,RandomForest,1,5,99,25,63,149.26350243867245,256.6234424077079,14.649203128587452,0.5348178722032915
100,RandomForest,2,5,99,25,63,98.39078141414133,136.1717017350435,19.15239140579374,0.7301583885082822
100,RandomForest,3,5,99,25,63,109.05471597114006,144.26323060562905,16.10501983491665,0.6687106719031339
100,RandomForest,4,5,99,25,63,128.1998045714286,217.94460298830833,13.07486837519432,0.5832746760167831
100,RandomForest,5,5,100,24,63,91.46517794312172,145.6865880970754,10.725294711597092,0.7803082630348696
100,XGBoost,1,5,99,25,63,145.4448083496094,249.27721961503806,13.751474963317895,0.5610697099311773
100,XGBoost,2,5,99,25,63,100.37975952148437,156.0698640991681,19.536320952737427,0.6455350512369022
100,XGBoost,3,5,99,25,63,97.745576171875,138.4383098696217,14.342198412001512,0.6949235274438949
100,XGBoost,4,5,99,25,63,128.16437377929688,213.34343833080786,13.326192110052373,0.6006844385119368
100,XGBoost,5,5,100,24,63,104.97376124064128,149.31880749558593,12.136732611747886,0.7692171122306494
